DATE,RELACBW027SBOG
2017-03-01,4149.6487600000000000
2017-04-01,4166.0389500000000000
2017-05-01,4183.0829200000000000
2017-06-01,4195.5578500000000000
2017-07-01,4213.0532250000000000
2017-08-01,4223.9094800000000000
2017-09-01,4229.0480750000000000
2017-10-01,4250.7387750000000000
2017-11-01,4268.6711000000000000
2017-12-01,4283.6888250000000000
2018-01-01,4300.0702000000000000
2018-02-01,4315.2254500000000000
2018-03-01,4324.4025500000000000
2018-04-01,4337.4927250000000000
2018-05-01,4338.3611200000000000
2018-06-01,4350.9345500000000000
2018-07-01,4362.3583000000000000
2018-08-01,4363.7957200000000000
2018-09-01,4382.8492500000000000
2018-10-01,4393.4831400000000000
2018-11-01,4399.4868000000000000
2018-12-01,4405.9089250000000000
2019-01-01,4423.1767600000000000
2019-02-01,4436.3086500000000000
2019-03-01,4448.2409750000000000
2019-04-01,4460.3158750000000000
2019-05-01,4484.8993400000000000
2019-06-01,4498.1413500000000000
2019-07-01,4506.4017000000000000
2019-08-01,4514.3473500000000000
2019-09-01,4526.0082750000000000
2019-10-01,4544.3641800000000000
2019-11-01,4570.7925500000000000
2019-12-01,4603.8922000000000000
2020-01-01,4619.9646800000000000
